"","Character","Occupation","Category"
"2276","Shawn Southwick","American television and radio host","News Entertainer"
"2277","Shelby Foote","American historian and novelist who wrote The Civil War: A Narrative, a three-volume history of the war","Writer"
"2278","Shelley Duvall","American actress, producer, writer, and singer","Musical / Acting Entertainer"
"2279","Shelley Long","American actress","Acting Entertainer"
"2280","Shelley Winters","American actress who appeared in dozens of films, as well as on stage and television; her career spanned over 50 years until her death in 2006","Acting Entertainer"
"2281","Shepard Smith","American television news anchor","News Entertainer"
"2282","Sheri Dillon","lawyer, best known for drafting President Trump's trust documents and speaking about them during a press conference","Law Professional"
"2283","Sherman Hemsley","American actor and comedian","Acting Entertainer"
"2284","Sherri Shepherd","American actress, comedian, author and television personality","Acting Entertainer"
"2285","Sherrie Schneider","author, best known for co-writing The Rules: Time-Tested Secrets for Capturing the Heart of Mr. Right","Writer"
"2286","Sherry Stringfield","American actress","Acting Entertainer"
"2287","Shirley MacLaine","American film, television and theater actress, singer, dancer, activist and author","Musical / Acting Entertainer"
"2288","Shirley Temple","American actress, singer, dancer, businesswoman and diplomat most notable as Hollywood's number one box-office star from 1935 to 1938","Musical / Acting Entertainer"
"2289","Shucky Ducky","comedian, native of Dallas, Texas","Acting Entertainer"
"2290","Si Robertson","American television personality, preacher, hunter, outdoorsman, retired U.S. Army soldier, and duck-call maker at Duck Commander","Reality TV Star"
"2291","Sid Vicious","English bassist and vocalist, most famous as a member of the influential punk rock band the Sex Pistols, and notorious for his arrest for the alleged murder of his girlfriend, Nancy Spungen","Criminal"
"2292","Sidney Poitier","Bahamian-American actor, film director, author and diplomat","Acting Entertainer"
"2293","Siegfried Fischbacher","German-American contemporary magician and entertainer, known for duo ""Siegfried & Roy"" and their performances with white lions and white tigers","Other Entertainer"
"2294","Sigmund Freud","Austrian neurologist and the founder of psychoanalysis, a clinical method for treating psychopathology through dialogue between a patient and a psychoanalyst","other"
"2295","Silda Spitzer","American businesswoman, lawyer, and former first lady of New York State","U.S. Political Family"
"2296","Simon Coombs","former British conservative politician","Non-U.S. Politician"
"2297","Simon Cowell","English reality television judge and producer, entrepreneur, and philanthropist","News Entertainer"
"2298","Simon Le Bon","English musician, best known as the lead singer, lyricist and musician of the band Duran Duran and its offshoot, Arcadia","Musical Entertainer"
"2299","Simone de Beauvoir","French writer, intellectual, existentialist philosopher, political activist, feminist and social theorist","Writer"
"2300","Sinbad","American stand-up comedian and actor","Acting Entertainer"
"2301","Sinead O'Connor","Irish singer-songwriter who rose to fame in the late 1980s with her debut album The Lion and the Cobra","Musical Entertainer"
"2302","Sir Mix-A-Lot","American rapper and producer based in Seattle, Washington","Musical / Acting Entertainer"
"2303","Sister Souljah","American author, activist, recording artist, and film producer","Musical / Acting Entertainer"
"2304","Skrillex","American electronic dance music producer, DJ, singer, songwriter and multi-instrumentalist","Musical Entertainer"
"2305","SkyBlu","American rapper, singer, record producer, DJ and dancer best known as one half of the musical duo LMFAO, along with his paternal uncle Redfoo","Musical Entertainer"
"2306","Slash","British-born American musician and songwriter, best known as the lead guitarist of the American rock band Guns N' Roses","Musical Entertainer"
"2307","Slim Pickens","American rodeo performer and film and television actor","Acting Entertainer"
"2308","Slobodan Milosevic","Yugoslav and Serbian politician who was the President of Serbia from 1989 to 1997 and President of the Federal Republic of Yugoslavia from 1997 to 2000","Non-U.S. Politician"
"2309","Snoop Doggy Dogg","American rapper and actor from Long Beach, California","Musical / Acting Entertainer"
"2310","Sofia Vergara","Colombian-American actress and model","Acting Entertainer"
"2311","Solange Knowles","American singer, songwriter, model and actress","Musical / Acting Entertainer"
"2312","Sonia Sotomayor","Associate Justice of the Supreme Court of the United States, serving since August 2009","Law Professional"
"2313","Sonny Bono","American singer, producer, and politician who came to fame in partnership with his second wife Cher, as the popular singing duo Sonny & Cher","Musical Entertainer"
"2314","Sonny West","best known as one of Elvis Presley's bodyguards","other"
"2315","Sonya Carson","best known as mother of retired neurosurgeon, author and politician: Ben Carson","U.S. Political Family"
"2316","Soon-Yi Previn","American actress","Acting Entertainer"
"2317","Sophia Grace Brownlee","best known for her viral video covering Nicki Minaj's song ""Super Bass"" with her cousin Rosie","other"
"2318","Spalding Gray","American actor and writer","Acting Entertainer"
"2319","Spike Lee","American film director, producer, writer, and actor","Acting Entertainer"
"2320","Squeaky Fromme","American would-be assassin best known for attempting to assassinate U.S. President Gerald Ford in 1975","Criminal"
"2321","Stanley Tucci","American character actor, writer, producer and film director","Acting Entertainer"
"2322","Stanley Weisberg","judge","Law Professional"
"2323","Star Burton","best known as fiance of former cult-leader Charles Manson","other"
"2324","Star Jones","American lawyer, journalist, writer, television personality, fashion designer, and women's and diversity advocate","News Entertainer"
"2325","Stephen A. Smith","American sports television personality, sports radio host, sports journalist, and actor","News Entertainer"
"2326","Stephen Hawking","English theoretical physicist, cosmologist, author and Director of Research at the Centre for Theoretical Cosmology within the University of Cambridge","Scientist"
"2327","Stephen King","American author of horror, supernatural fiction, suspense, science fiction, and fantasy","Writer"
"2328","Stephen Stills","American musician and multi-instrumentalist best known for his work with Buffalo Springfield and Crosby, Stills, Nash & Young","Musical Entertainer"
"2329","Steve Bell","former news anchor of the ABC News programs Good Morning America and World News This Morning","News Entertainer"
"2330","Steve Doocy","American network-television personality on the Fox News Channel and a best selling author","News Entertainer"
"2331","Steve Forbes","American publishing executive, who was twice a candidate for the nomination of the Republican Party for President","U.S. Politician"
"2332","Steve Harvey","American comedian, television host, producer, radio personality, actor, and author","Acting Entertainer"
"2333","Steve Harwell","American musician who is best known as the lead vocalist for the band Smash Mouth","Musical Entertainer"
"2334","Steve Irwin","Australian nature expert and television personality","News Entertainer"
"2335","Steve Jobs","American businessman, inventor, and industrial designer","Business Leader"
"2336","Steve Kmetko","American entertainment television host and reporter","News Entertainer"
"2337","Steve Kroft","American journalist and a longtime correspondent for 60 Minutes","News Entertainer"
"2338","Steve Lawrence","American singer and actor, perhaps best known as a member of a duo with his wife Eydie Gormé, billed as ""Steve and Eydie""","Musical / Acting Entertainer"
